CT_ID_10,total_pop,num_white,pct_white,num_black,pct_black,num_ai,pct_ai,num_asian,pct_asian,num_asianind,pct_asianind,num_latino,pct_latino,total_h_units
25025000100,4185,2454,58.6,252,6,0,0,869,20.8,100,2.4,701,16.8,1697
25025000201,3553,2947,82.9,170,4.8,0,0,286,8,19,0.5,231,6.5,1546
25025000202,3697,2578,69.7,320,8.7,0,0,460,12.4,0,0,713,19.3,1530
25025000301,2590,2065,79.7,101,3.9,0,0,307,11.9,24,0.9,196,7.6,1168
25025000302,3110,2223,71.5,142,4.6,0,0,563,18.1,18,0.6,100,3.2,1341
25025000401,5127,3545,69.1,209,4.1,0,0,1173,22.9,330,6.4,395,7.7,2718
25025000402,3277,2397,73.1,77,2.3,0,0,642,19.6,32,1,253,7.7,1441
25025000502,5904,4974,84.2,102,1.7,10,0.2,608,10.3,93,1.6,575,9.7,1880
25025000503,2076,1629,78.5,32,1.5,15,0.7,184,8.9,43,2.1,85,4.1,1327
25025000504,4516,3617,80.1,190,4.2,65,1.4,467,10.3,27,0.6,465,10.3,2666
25025000601,3522,2469,70.1,95,2.7,17,0.5,723,20.5,24,0.7,296,8.4,1490
25025000602,3575,2103,58.8,499,14,11,0.3,538,15,49,1.4,667,18.7,1864
25025000701,3923,2586,65.9,243,6.2,53,1.4,870,22.2,36,0.9,381,9.7,2237
25025000703,1958,1211,61.8,173,8.8,0,0,508,25.9,99,5.1,201,10.3,1094
25025000704,4520,2447,54.1,244,5.4,5,0.1,1475,32.6,528,11.7,315,7,2342
25025000802,6570,4193,63.8,416,6.3,15,0.2,986,15,15,0.2,1235,18.8,2894
25025000803,6351,4248,66.9,460,7.2,7,0.1,1248,19.7,285,4.5,653,10.3,815
25025010103,3695,2166,58.6,185,5,7,0.2,959,26,138,3.7,443,12,499
25025010104,4837,3497,72.3,122,2.5,0,0,788,16.3,153,3.2,534,11,1983
25025010203,5058,3790,74.9,177,3.5,0,0,816,16.1,153,3,668,13.2,3397
25025010204,3277,2105,64.2,45,1.4,16,0.5,942,28.7,173,5.3,220,6.7,1120
25025010300,5360,3990,74.4,350,6.5,16,0.3,655,12.2,155,2.9,518,9.7,305
25025010403,2907,1859,63.9,214,7.4,23,0.8,496,17.1,176,6.1,404,13.9,2001
25025010404,5076,3307,65.1,367,7.2,14,0.3,1109,21.8,171,3.4,495,9.8,1504
25025010405,6015,4208,70,592,9.8,0,0,804,13.4,131,2.2,667,11.1,926
25025010408,1410,969,68.7,75,5.3,0,0,330,23.4,107,7.6,100,7.1,923
25025010500,3311,2247,67.9,339,10.2,0,0,456,13.8,177,5.3,394,11.9,1721
25025010600,3146,2387,75.9,302,9.6,19,0.6,438,13.9,126,4,124,3.9,2439
25025010701,2793,2391,85.6,51,1.8,5,0.2,243,8.7,40,1.4,212,7.6,1689
25025010702,2486,2302,92.6,59,2.4,5,0.2,90,3.6,18,0.7,189,7.6,1650
25025010801,3253,2984,91.7,5,0.2,0,0,198,6.1,84,2.6,259,8,2004
25025010802,3162,2815,89,40,1.3,0,0,262,8.3,31,1,364,11.5,2148
25025020101,4418,4144,93.8,33,0.7,0,0,168,3.8,24,0.5,48,1.1,2859
25025020200,3782,3155,83.4,150,4,0,0,370,9.8,0,0,402,10.6,2384
25025020301,2360,1696,71.9,52,2.2,0,0,515,21.8,102,4.3,166,7,1435
25025020302,1011,986,97.5,0,0,0,0,3,0.3,0,0,25,2.5,701
25025020303,3702,2479,67,320,8.6,0,0,496,13.4,196,5.3,570,15.4,2000
25025030100,2186,2106,96.3,0,0,0,0,71,3.2,55,2.5,31,1.4,1379
25025030200,1686,1617,95.9,3,0.2,0,0,35,2.1,4,0.2,193,11.4,1049
25025030300,5562,4511,81.1,429,7.7,26,0.5,443,8,116,2.1,251,4.5,3196
25025030400,2846,2655,93.3,24,0.8,0,0,87,3.1,0,0,119,4.2,1664
25025030500,2665,2429,91.1,1,0,0,0,84,3.2,20,0.8,131,4.9,1709
25025040100,2502,2419,96.7,0,0,0,0,83,3.3,0,0,184,7.4,1303
25025040200,1920,898,46.8,444,23.1,0,0,118,6.1,86,4.5,588,30.6,744
25025040300,4176,3281,78.6,438,10.5,0,0,291,7,34,0.8,148,3.5,2172
25025040401,2610,2162,82.8,65,2.5,0,0,244,9.3,9,0.3,132,5.1,1346
25025040600,2973,2654,89.3,131,4.4,0,0,112,3.8,27,0.9,101,3.4,1434
25025040801,4133,2371,57.4,951,23,0,0,553,13.4,7,0.2,951,23,2248
25025050101,5450,3206,58.8,203,3.7,167,3.1,216,4,0,0,3470,63.7,1992
25025050200,6263,3471,55.4,223,3.6,51,0.8,235,3.8,0,0,4452,71.1,1982
25025050300,2143,1295,60.4,331,15.4,0,0,163,7.6,0,0,799,37.3,1110
25025050400,2556,1958,76.6,38,1.5,0,0,25,1,0,0,1485,58.1,1106
25025050500,2481,1890,76.2,39,1.6,0,0,62,2.5,0,0,1402,56.5,796
25025050600,2540,1495,58.9,151,5.9,0,0,72,2.8,0,0,1809,71.2,899
25025050700,5476,2536,46.3,2,0,36,0.7,14,0.3,0,0,3862,70.5,1775
25025050901,4698,2642,56.2,82,1.7,0,0,187,4,0,0,3278,69.8,1602
25025051000,4460,3089,69.3,86,1.9,203,4.6,138,3.1,0,0,1845,41.4,1878
25025051101,7121,4930,69.2,109,1.5,0,0,424,6,0,0,3271,45.9,2569
25025051200,2592,2043,78.8,40,1.5,17,0.7,63,2.4,4,0.2,870,33.6,1275
25025060101,3604,3412,94.7,44,1.2,0,0,67,1.9,53,1.5,122,3.4,1765
25025060200,2414,2307,95.6,7,0.3,0,0,62,2.6,0,0,22,0.9,1074
25025060301,3499,3446,98.5,4,0.1,0,0,19,0.5,0,0,60,1.7,1731
25025060400,5554,5205,93.7,160,2.9,0,0,126,2.3,28,0.5,171,3.1,2663
25025060501,4136,3873,93.6,25,0.6,0,0,106,2.6,16,0.4,139,3.4,2025
25025060600,2891,2480,85.8,31,1.1,0,0,319,11,100,3.5,87,3,1834
25025060700,2563,717,28,839,32.7,0,0,238,9.3,0,0,933,36.4,905
25025060800,4461,3852,86.3,5,0.1,44,1,298,6.7,32,0.7,280,6.3,2274
25025061000,3138,1809,57.6,656,20.9,0,0,161,5.1,0,0,1002,31.9,1393
25025061101,2211,850,38.4,537,24.3,0,0,405,18.3,0,0,945,42.7,1125
25025061200,3901,3606,92.4,53,1.4,1,0,157,4,34,0.9,152,3.9,2316
25025070101,6212,3912,63,133,2.1,0,0,1901,30.6,113,1.8,419,6.7,3874
25025070200,5630,2068,36.7,115,2,0,0,3267,58,108,1.9,205,3.6,1724
25025070300,4548,3608,79.3,74,1.6,0,0,603,13.3,45,1,347,7.6,2786
25025070402,1897,392,20.7,150,7.9,13,0.7,1249,65.8,3,0.2,124,6.5,906
